Country,CountryCode,Province,City,CityCode,Lat,Lon,Cases,Status,Date
Singapore,SG,,,,1.35,103.82,38514,confirmed,2020-06-09T00:00:00Z
Singapore,SG,,,,1.35,103.82,38965,confirmed,2020-06-10T00:00:00Z
Singapore,SG,,,,1.35,103.82,39387,confirmed,2020-06-11T00:00:00Z
Singapore,SG,,,,1.35,103.82,39850,confirmed,2020-06-12T00:00:00Z
Singapore,SG,,,,1.35,103.82,40197,confirmed,2020-06-13T00:00:00Z
Singapore,SG,,,,1.35,103.82,40604,confirmed,2020-06-14T00:00:00Z
Singapore,SG,,,,1.35,103.82,40818,confirmed,2020-06-15T00:00:00Z
Singapore,SG,,,,1.35,103.82,40969,confirmed,2020-06-16T00:00:00Z
Singapore,SG,,,,1.35,103.82,41216,confirmed,2020-06-17T00:00:00Z
Singapore,SG,,,,1.35,103.82,41473,confirmed,2020-06-18T00:00:00Z
Singapore,SG,,,,1.35,103.82,41615,confirmed,2020-06-19T00:00:00Z
Singapore,SG,,,,1.35,103.82,41833,confirmed,2020-06-20T00:00:00Z
Singapore,SG,,,,1.35,103.82,42095,confirmed,2020-06-21T00:00:00Z
Singapore,SG,,,,1.35,103.82,42313,confirmed,2020-06-22T00:00:00Z
Singapore,SG,,,,1.35,103.82,42432,confirmed,2020-06-23T00:00:00Z
Singapore,SG,,,,1.35,103.82,42623,confirmed,2020-06-24T00:00:00Z
Singapore,SG,,,,1.35,103.82,42736,confirmed,2020-06-25T00:00:00Z
Singapore,SG,,,,1.35,103.82,42955,confirmed,2020-06-26T00:00:00Z
Singapore,SG,,,,1.35,103.82,43246,confirmed,2020-06-27T00:00:00Z
Singapore,SG,,,,1.35,103.82,43459,confirmed,2020-06-28T00:00:00Z
Singapore,SG,,,,1.35,103.82,43661,confirmed,2020-06-29T00:00:00Z
Singapore,SG,,,,1.35,103.82,43907,confirmed,2020-06-30T00:00:00Z
Singapore,SG,,,,1.35,103.82,44122,confirmed,2020-07-01T00:00:00Z
Singapore,SG,,,,1.35,103.82,44310,confirmed,2020-07-02T00:00:00Z
Singapore,SG,,,,1.35,103.82,44479,confirmed,2020-07-03T00:00:00Z
Singapore,SG,,,,1.35,103.82,44664,confirmed,2020-07-04T00:00:00Z
Singapore,SG,,,,1.35,103.82,44800,confirmed,2020-07-05T00:00:00Z
